City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
535,Marathon,US,44.9,-89.7668,71.55,71,75,5.75,broken clouds
536,San Ignacio,BZ,17.1561,-89.0714,80.74,83,0,0.0,clear sky
537,Buraydah,SA,26.326,43.975,93.65,16,48,11.45,scattered clouds
538,Sompeta,IN,18.9333,84.6,81.21,82,100,5.7,overcast clouds
539,Olginskaya,RU,47.1879,39.9492,79.93,71,25,5.23,scattered clouds
540,Pedasi,PA,7.5333,-80.0333,83.19,75,99,5.88,overcast clouds
541,Sorong,ID,-0.8833,131.25,78.01,86,93,7.92,overcast clouds
542,Palasa,IN,18.7667,84.4167,79.43,86,99,7.05,overcast clouds
543,Ulaangom,MN,49.9811,92.0667,67.1,49,10,2.37,clear sky
544,Krapivinskiy,RU,54.9992,86.8133,60.44,93,0,3.15,clear sky
545,Mudgal,IN,16.0167,76.4333,70.72,89,100,24.94,light rain
546,Harper,LR,4.375,-7.7169,76.26,81,33,6.04,scattered clouds
547,Karaton,ID,-6.3424,106.1045,78.96,95,38,1.92,scattered clouds
548,Salinas,US,36.6777,-121.6555,92.57,62,1,14.97,clear sky
549,Teknaf,BD,20.8624,92.3058,78.46,91,99,17.36,light rain
550,Santarem,BR,-2.4431,-54.7083,80.73,89,0,6.91,clear sky
551,San Blas,MX,21.5167,-105.2667,86.97,65,100,5.35,overcast clouds
552,Ponca City,US,36.707,-97.0856,86.92,47,1,12.66,clear sky
553,Uige,AO,-7.6087,15.0613,65.01,62,0,3.94,clear sky
554,Changji,CN,44.0167,87.3167,84.99,24,0,2.24,clear sky
555,Cidreira,BR,-30.1811,-50.2056,54.43,65,0,0.72,clear sky
556,Nalut,LY,30.3333,10.85,80.8,29,0,15.77,clear sky
557,Araguacu,BR,-12.9306,-49.8264,79.92,29,0,4.61,clear sky
558,Machachi,EC,-0.5,-78.5667,62.1,83,53,3.96,broken clouds
559,Klaksvik,FO,62.2266,-6.589,52.72,90,0,12.55,clear sky
560,Zaragoza,ES,41.6561,-0.8773,87.03,46,0,5.99,clear sky
561,Ambanja,MG,-13.6833,48.45,67.62,73,6,3.96,clear sky
562,Ahipara,NZ,-35.1667,173.1667,58.86,86,67,11.5,broken clouds
563,Moerai,PF,-22.4333,-151.3333,74.03,69,1,4.47,clear sky
564,Cortez,US,37.3489,-108.5859,86.76,29,1,16.11,clear sky
565,Tazovskiy,RU,67.4667,78.7,57.96,93,100,18.07,light rain
566,Sechura,PE,-5.5569,-80.8222,70.41,69,8,18.34,clear sky
567,Vanimo,PG,-2.6741,141.3028,79.79,84,79,5.06,broken clouds
568,Ixtapa,MX,20.7,-105.2,87.22,80,98,4.0,overcast clouds
569,Puerto Cabezas,NI,14.0351,-83.3888,84.16,84,75,14.72,broken clouds
570,Ayan,RU,56.45,138.1667,63.84,86,99,1.32,overcast clouds
571,Lipin Bor,RU,60.2622,37.9763,48.78,60,5,6.2,clear sky
572,Aquiraz,BR,-3.9014,-38.3911,81.18,85,4,10.67,clear sky
573,Te Anau,NZ,-45.4167,167.7167,44.04,87,76,1.34,broken clouds
574,Dong Xoai,VN,11.5333,106.9167,72.7,98,100,2.04,overcast clouds
575,Osoyoos,CA,49.0331,-119.4524,89.19,28,0,4.61,clear sky
576,Gizo,SB,-8.103,156.8419,82.0,75,18,6.51,light rain
577,Zenzeli,RU,45.9241,47.0474,82.87,50,58,5.5,broken clouds
578,Alta Floresta,BR,-9.8756,-56.0861,78.91,31,0,3.02,clear sky
579,Conde,BR,-7.2597,-34.9075,71.06,94,90,9.22,overcast clouds
580,Yar-Sale,RU,66.8333,70.8333,53.83,93,93,8.68,overcast clouds
581,Altagracia De Orituco,VE,9.8601,-66.3814,75.92,80,66,5.82,broken clouds
582,Gazojak,TM,41.1875,61.4036,80.98,23,0,8.46,clear sky
583,Sliven,BG,42.6858,26.3292,70.16,67,0,7.72,clear sky
584,Cascais,PT,38.6979,-9.4215,64.62,77,1,7.0,clear sky
585,Brza Palanka,RS,44.4709,22.444,61.52,83,1,6.26,clear sky
586,Caucaia,BR,-3.7361,-38.6531,81.03,76,0,12.66,clear sky
587,Storforshei,NO,66.4043,14.5233,50.67,99,100,10.51,overcast clouds
588,Gazli,UZ,40.1333,63.45,83.77,22,0,10.98,clear sky
589,Alugan,PH,12.2188,125.4808,82.4,72,100,14.18,overcast clouds
590,Gunjur,GM,13.2019,-16.7339,80.67,89,40,8.05,scattered clouds
591,Itarema,BR,-2.9248,-39.9167,78.85,79,18,16.44,few clouds
592,Rio Grande,BR,-32.035,-52.0986,42.94,66,0,3.74,clear sky
593,Kuito,AO,-12.3833,16.9333,53.37,36,0,3.65,clear sky
594,Najran,SA,17.4924,44.1277,77.65,67,82,11.45,broken clouds
595,Totma,RU,59.9747,42.7642,45.21,85,22,5.32,few clouds
596,Martinsburg,US,39.4562,-77.9639,84.61,53,20,11.5,few clouds
597,Koumac,NC,-20.5667,164.2833,73.69,56,28,6.26,scattered clouds
598,Tayu,ID,-6.5397,111.0518,75.74,87,57,7.38,broken clouds
599,Nhulunbuy,AU,-12.2333,136.7667,77.61,69,0,10.36,clear sky
600,Coihaique,CL,-45.5752,-72.0662,48.15,76,75,3.44,light rain
601,Parabel,RU,58.6978,81.4825,60.53,80,88,5.79,overcast clouds
602,Biak,ID,-0.9131,122.8766,74.61,90,100,7.43,overcast clouds
603,Lachi,PK,33.3833,71.3386,77.54,56,80,2.13,broken clouds
604,Huarmey,PE,-10.0681,-78.1522,66.04,79,21,9.84,few clouds
605,Fort Walton Beach,US,30.4058,-86.6188,88.56,76,1,8.99,clear sky
606,Sur,OM,22.5667,59.5289,93.76,49,31,9.4,scattered clouds
607,Ishigaki,JP,24.3448,124.1572,82.53,89,75,23.02,light intensity shower rain
608,Sheregesh,RU,52.9209,87.9869,56.89,97,74,2.64,broken clouds
609,Sai Buri,TH,6.7013,101.6168,77.49,85,99,2.75,overcast clouds
610,El Fuerte,MX,26.4189,-108.6194,95.36,39,95,1.88,overcast clouds
611,Kholuy,RU,56.575,41.8692,56.05,82,95,6.08,overcast clouds
612,Rochegda,RU,62.8,43.25,43.74,65,44,2.84,scattered clouds
613,Miles City,US,46.4083,-105.8406,95.97,23,20,4.61,few clouds
614,Huzhou,CN,30.8703,120.0933,79.41,82,16,6.31,few clouds
615,Dali,CN,25.7,100.1833,62.47,92,100,0.83,light rain
616,Daru,PG,-9.0763,143.2092,79.59,77,84,14.34,broken clouds
617,Nuuk,GL,64.1835,-51.7216,48.81,71,75,5.75,broken clouds
618,Kachug,RU,53.9606,105.8817,62.02,81,0,1.07,clear sky
619,Camacha,PT,33.0833,-16.3333,68.54,83,40,9.22,scattered clouds
620,Bud,US,39.447,-86.1758,81.7,70,61,5.66,broken clouds
621,Kajaani,FI,64.2273,27.7285,57.25,77,90,17.27,overcast clouds
622,Portgordon,GB,57.6635,-3.016,60.53,88,75,8.05,broken clouds
623,Diego De Almagro,CL,-26.3667,-70.05,61.57,26,14,0.89,few clouds
624,Belomorsk,RU,64.5232,34.7668,50.13,70,96,6.49,overcast clouds
625,Mbarara,UG,-0.608,30.65,66.13,53,22,1.7,few clouds
626,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,49,0,9.22,clear sky
627,Tignere,CM,7.3667,12.65,64.96,97,100,1.81,light rain
628,Chapel Hill,US,35.9132,-79.0558,87.39,76,1,6.29,clear sky
629,Kungurtug,RU,50.5994,97.5228,57.6,73,3,1.97,clear sky
630,Hyeres,FR,43.1167,6.1167,74.34,87,1,0.0,clear sky
631,Barreirinhas,BR,-2.7469,-42.8264,77.45,85,15,6.17,few clouds
632,Lao Cai,VN,22.4833,103.95,76.64,96,100,1.95,overcast clouds
633,Celestun,MX,20.8667,-90.4,84.92,75,34,17.02,scattered clouds
634,Lieksa,FI,63.3167,30.0167,57.45,59,100,14.45,overcast clouds
635,Uyuni,BO,-20.4597,-66.825,44.17,26,5,4.29,clear sky
636,Mount Isa,AU,-20.7333,139.5,60.57,39,49,9.22,scattered clouds
637,Cozumel,MX,20.5083,-86.9458,86.95,83,15,5.99,few clouds
638,Seoul,KR,37.5683,126.9778,85.57,66,0,3.44,clear sky
639,Coahuayana,MX,18.7333,-103.6833,87.57,70,84,5.21,broken clouds
640,Knysna,ZA,-34.0363,23.0471,43.18,82,100,21.34,moderate rain
641,Aykhal,RU,66.0,111.5,61.18,80,40,10.67,scattered clouds
