City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Savannah Bight,HN,86.05,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
351,Urumqi,CN,81.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
354,Tha Chang,TH,75.22,few clouds,9.2642,99.1922,สุริยาค้าไม้
356,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
358,Bonthe,SL,77.97,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
361,Sibolga,ID,75.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
362,Nizhniy Baskunchak,RU,84.94,broken clouds,48.2198,46.8311,Arman hotel
363,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
365,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
368,Manggar,ID,81.36,overcast clouds,-2.8833,108.2667,Guest Hotel
369,Sisophon,KH,75.9,overcast clouds,13.5859,102.9737,Pyramid Hotel
376,Callaguip,PH,78.82,overcast clouds,18.0714,120.4867,Pangil Beach Resort
377,Humaita,BR,81.82,few clouds,-7.5061,-63.0208,Corrêa Hotel
379,Linjiang,CN,76.86,overcast clouds,41.8069,126.9078,格林豪泰
380,Palmer,US,78.4,scattered clouds,42.1584,-72.3287,Wedgewood Motel
393,Yarmouth,US,78.85,scattered clouds,41.7057,-70.2286,Blue Rock Resort
395,Westport,US,79.29,thunderstorm,41.1415,-73.3579,The Westport Inn
396,Smidovich,RU,79.74,broken clouds,48.6,133.8167,Gostinnitsa
397,Yarada,IN,77.32,drizzle,17.65,83.2667,Jeevan
403,Maturin,VE,75.92,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
406,Assare,BR,75.61,clear sky,-6.8744,-39.875,José Xavier de Andrade
409,Umm Lajj,SA,85.71,broken clouds,25.0213,37.2685,Moon light Furnished Units
413,Naze,JP,79.72,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
415,Fairbanks,US,78.1,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
416,Diffa,NE,86.74,broken clouds,13.3154,12.6113,ProDAF/Diffa
417,Nicoya,CR,87.35,overcast clouds,10.1483,-85.452,Guayacan Real
423,Clyde,US,75.79,scattered clouds,41.3042,-82.9752,Red Roof Inn Clyde
425,Iracoubo,GF,78.93,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
427,Bodri,IN,75.78,overcast clouds,23.1667,81.4333,Ram home
428,Rolla,US,84.58,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
433,The Pas,CA,77.02,broken clouds,53.8251,-101.2541,Wescana Inn
434,Zaraza,VE,81.45,broken clouds,9.3503,-65.3245,Hotel Zaraza
435,Dingle,PH,78.53,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
438,Saint Paul,US,84.88,haze,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
439,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
440,Pauini,BR,78.35,clear sky,-7.7136,-66.9764,Casa do Kiwliks
443,Sabang,ID,82.56,overcast clouds,5.8933,95.3214,Hotel Citra
446,Kilindoni,TZ,75.92,clear sky,-7.9139,39.6668,Bustani B&B
448,Bata,GQ,76.75,overcast clouds,1.8639,9.7658,Hotel Elik Melen
451,Freeport,US,81.25,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
455,Alenquer,BR,80.94,broken clouds,-1.9417,-54.7383,Josilene Castro
460,Lac Du Bonnet,CA,75.58,overcast clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
461,Portland,US,79.2,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
462,Hami,CN,83.95,overcast clouds,42.8,93.45,Laoyutang Resort
464,Meulaboh,ID,75.15,moderate rain,4.1363,96.1285,Kost Pria
466,Worcester,US,77.56,few clouds,42.3334,-71.8328,Classic Suites & Inns
481,Vilhena,BR,77.22,clear sky,-12.7406,-60.1458,Hotel Mirage
483,Boali,CF,80.47,light rain,4.8005,18.1275,Auberge des Cocotiers Boali poste
484,Port Arthur,CN,79.02,overcast clouds,38.8,121.2667,Friendship Hotel
486,Lixourion,GR,75.11,clear sky,38.2019,20.4314,Hotel Summery
487,Shimoda,JP,85.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
489,Changli,CN,76.86,overcast clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
492,Tabuk,PH,76.12,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
495,San Antonio,US,89.35,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
496,Miri,MY,75.34,heavy intensity rain,4.4148,114.0089,"Mega Hotel, Miri"
497,Ridge,US,77.85,clear sky,40.894,-72.8959,Pine Ridge In
499,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
503,Khartoum,SD,75.02,overcast clouds,15.5518,32.5324,Hotel China
510,Qrendi,MT,75.11,clear sky,35.8347,14.4583,M'Anglu
514,Lucea,JM,87.85,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
518,Brooks,CA,84.18,scattered clouds,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
528,Hirara,JP,84.47,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
530,Hidrolandia,BR,79.66,few clouds,-4.4081,-40.4378,Camping Pedra do Tatu - Fazenda Alves
531,Calderitas,MX,87.01,clear sky,18.55,-88.25,Hotel Hacienda Campestre
532,Korla,CN,81.12,broken clouds,41.7597,86.1469,Gulisitan Hotel
538,Sompeta,IN,81.21,overcast clouds,18.9333,84.6,Netaji's Home
539,Olginskaya,RU,79.93,scattered clouds,47.1879,39.9492,Zelenaya Pristan'
540,Pedasi,PA,83.19,overcast clouds,7.5333,-80.0333,Selina Pedasi
541,Sorong,ID,78.01,overcast clouds,-0.8833,131.25,waigo splash hotel
542,Palasa,IN,79.43,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
546,Harper,LR,76.26,scattered clouds,4.375,-7.7169,Screensaver
550,Santarem,BR,80.73,clear sky,-2.4431,-54.7083,Ecotur Lodge
551,San Blas,MX,86.97,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
